facility_id,campus_id,name,operator_company,facility_type,status,latitude,longitude,geom_type,geocode_precision,coord_confidence,address,city,state,county,zip,country,size_sqft,area_basis,power_capacity_mw,power_basis,power_demand_mw,year_opened,planned_year,in_conus,included,confidence,notes,snapshot_date,dataset_version,sources_json,source_name,source_url,n_sources
dc_004d4bd391b5,,Rack59 Data Center,,unknown,operational,35.4672049,-97.6497453,point,address,medium,7725 West Reno Avenue,Oklahoma CIty,OK,Oklahoma,73127,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/6401035673"", ""source_record_id"": ""node/6401035673"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Oklahoma CIty"", ""addr:housenumber"": ""7725"", ""addr:postcode"": ""73127"", ""addr:state"": ""OK"", ""addr:street"": ""West Reno Avenue"", ""addr:unit"": ""385"", ""name"": ""Rack59 Data Center"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/6401035673,1
dc_f478dd9ef550,,Oso Grande,Oso Grande,unknown,operational,35.0925015,-106.6536712,point,address,medium,725 6th Street Northwest,Albuquerque,NM,Bernalillo,87102,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/6625492701"", ""source_record_id"": ""node/6625492701"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Albuquerque"", ""addr:housenumber"": ""725"", ""addr:postcode"": ""87102"", ""addr:state"": ""NM"", ""addr:street"": ""6th Street Northwest"", ""addr:unit"": ""C"", ""name"": ""Oso Grande"", ""operator"": ""Oso Grande"", ""ref"": ""OSO"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/6625492701,1
dc_c2c582121fae,,Morgan Wireless,,unknown,operational,39.6309851,-78.2253196,point,address,medium,303 North Washington Street,Bath (Berkeley Springs),WV,Morgan,25411,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/6793837329"", ""source_record_id"": ""node/6793837329"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Bath (Berkeley Springs)"", ""addr:housenumber"": ""303"", ""addr:postcode"": ""25411"", ""addr:state"": ""WV"", ""addr:street"": ""North Washington Street"", ""addr:unit"": ""1"", ""name"": ""Morgan Wireless"", ""phone"": ""+1-304-592-8330"", ""telecom"": ""data_center"", ""website"": ""https://www.morganwireless.net""}}]",OpenStreetMap,https://www.openstreetmap.org/node/6793837329,1
dc_6324e54cb1f3,,VIRTBIZ,,unknown,operational,32.7825463,-96.7828145,point,address,medium,2805 Canton Street,Dallas,TX,Dallas,75226,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/6856057098"", ""source_record_id"": ""node/6856057098"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Dallas"", ""addr:housenumber"": ""2805"", ""addr:postcode"": ""75226"", ""addr:state"": ""TX"", ""addr:street"": ""Canton Street"", ""description"": ""Web hosting, dedicated servers, VPS and colocation."", ""name"": ""VIRTBIZ"", ""phone"": ""+1-972-485-4125"", ""telecom"": ""data_center"", ""website"": ""https://www.virtbiz.com/""}}]",OpenStreetMap,https://www.openstreetmap.org/node/6856057098,1
dc_94697aa66760,,FirstLight Data Center,FirstLight,unknown,operational,43.6578388,-70.2613785,point,address,medium,340 Cumberland Avenue,Portland,ME,Cumberland,04101,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/7171975407"", ""source_record_id"": ""node/7171975407"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Portland"", ""addr:housenumber"": ""340"", ""addr:postcode"": ""04101"", ""addr:state"": ""ME"", ""addr:street"": ""Cumberland Avenue"", ""addr:unit"": ""7"", ""name"": ""FirstLight Data Center"", ""operator"": ""FirstLight"", ""telecom"": ""data_center"", ""website"": ""https://www.firstlight.net/products/data-center/portland-me-data-center/""}}]",OpenStreetMap,https://www.openstreetmap.org/node/7171975407,1
dc_72d8cb06afd7,,Learning GIS!,,unknown,operational,40.42179,-86.9141546,point,address,medium,,,IN,Tippecanoe,,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/7264976228"", ""source_record_id"": ""node/7264976228"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""name"": ""Learning GIS!"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/7264976228,1
dc_ba3a04b0acb7,,Agricultural and Biological Engineering,,unknown,operational,40.4218543,-86.9165454,point,address,medium,,,IN,Tippecanoe,,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/7264976991"", ""source_record_id"": ""node/7264976991"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""description"": ""Youthmapper generated Purdue GIS classroom or data labs."", ""name"": ""Agricultural and Biological Engineering"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/7264976991,1
dc_eef3ba94431e,,Windstream Communications,,unknown,operational,35.881397,-78.851552,point,address,medium,5400 South Miami Boulevard,Durham,NC,Durham,27703,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/7324132050"", ""source_record_id"": ""node/7324132050"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Durham"", ""addr:housenumber"": ""5400"", ""addr:postcode"": ""27703"", ""addr:state"": ""NC"", ""addr:street"": ""South Miami Boulevard"", ""addr:unit"": ""134"", ""name"": ""Windstream Communications"", ""telecom"": ""data_center"", ""wikidata"": ""Q8024771"", ""wikipedia"": ""en:Windstream Holdings""}}]",OpenStreetMap,https://www.openstreetmap.org/node/7324132050,1
dc_d1631b663c48,,Level 3 Communications,,unknown,operational,35.881364,-78.8515726,point,address,medium,5400 South Miami Boulevard,Durham,NC,Durham,27703,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/7324132051"", ""source_record_id"": ""node/7324132051"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Durham"", ""addr:housenumber"": ""5400"", ""addr:postcode"": ""27703"", ""addr:state"": ""NC"", ""addr:street"": ""South Miami Boulevard"", ""addr:unit"": ""135"", ""name"": ""Level 3 Communications"", ""telecom"": ""data_center"", ""wikidata"": ""Q322320"", ""wikipedia"": ""en:Level 3 Communications""}}]",OpenStreetMap,https://www.openstreetmap.org/node/7324132051,1
dc_a28b6b533687,,OptimumHQ,,unknown,operational,33.3804149,-111.7526684,point,address,medium,1955 South Val Vista Drive,Mesa,AZ,Maricopa,85206,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/7557854384"", ""source_record_id"": ""node/7557854384"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Mesa"", ""addr:housenumber"": ""1955"", ""addr:postcode"": ""85206"", ""addr:state"": ""AZ"", ""addr:street"": ""South Val Vista Drive"", ""name"": ""OptimumHQ"", ""source"": ""esri/USA_NAD_Addresses"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/7557854384,1
dc_2980260de3e5,,The Chatfield Group,,unknown,operational,33.380601,-111.7528888,point,address,medium,1955 South Val Vista Drive,Mesa,AZ,Maricopa,85206,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/7557868585"", ""source_record_id"": ""node/7557868585"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Mesa"", ""addr:housenumber"": ""1955"", ""addr:postcode"": ""85206"", ""addr:state"": ""AZ"", ""addr:street"": ""South Val Vista Drive"", ""name"": ""The Chatfield Group"", ""source"": ""esri/USA_NAD_Addresses"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/7557868585,1
dc_b9549d1a3e6c,,All About Serving Process Server,,unknown,operational,33.3199157,-111.809686,point,address,medium,1909 East Ray Road,Chandler,AZ,Maricopa,85225,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/7578821329"", ""source_record_id"": ""node/7578821329"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Chandler"", ""addr:housenumber"": ""1909"", ""addr:postcode"": ""85225"", ""addr:state"": ""AZ"", ""addr:street"": ""East Ray Road"", ""name"": ""All About Serving Process Server"", ""source"": ""esri/USA_NAD_Addresses"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/7578821329,1
dc_4dccde6d1dfb,,Emailage,,unknown,operational,33.302965,-111.8405386,point,address,medium,,,AZ,Maricopa,,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/7737996606"", ""source_record_id"": ""node/7737996606"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""name"": ""Emailage"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/7737996606,1
dc_0ffde5e0d6a1,,Alliance Technology,,unknown,operational,33.3799862,-111.728405,point,address,medium,4850 East Baseline Road,Mesa,AZ,Maricopa,85206,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/7821940847"", ""source_record_id"": ""node/7821940847"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Mesa"", ""addr:housenumber"": ""4850"", ""addr:postcode"": ""85206"", ""addr:state"": ""AZ"", ""addr:street"": ""East Baseline Road"", ""name"": ""Alliance Technology"", ""source"": ""esri/USA_NAD_Addresses"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/7821940847,1
dc_74f18bfa8df0,,8100 Boone Boulevard,Digital Realty,colocation,operational,38.913702,-77.2258342,point,parcel,high,8100 Boone Boulevard,,VA,Fairfax,,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/7985753364"", ""source_record_id"": ""node/7985753364"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""addr:housenumber"": ""8100"", ""addr:street"": ""Boone Boulevard"", ""name"": ""8100 Boone Boulevard"", ""operator"": ""Digital Realty"", ""operator:wikidata"": ""Q5275969"", ""operator:wikipedia"": ""en:Digital Realty"", ""owner"": ""Digital Realty"", ""telecom"": ""data_center""}}, {""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/way/156468497"", ""source_record_id"": ""way/156468497"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""medium"", ""raw_attributes"": {""addr:housenumber"": ""8100"", ""addr:street"": ""Boone Boulevard"", ""building"": ""data_center"", ""building:levels"": ""5""}}]",OpenStreetMap,https://www.openstreetmap.org/node/7985753364,2
dc_3fff8f8345d5,,HiPerGator,University of Florida,excluded_minor,operational,29.6728187,-82.2997617,point,address,medium,,,FL,Alachua,,US,,unknown,,unknown,,,,True,False,high,Tagged excluded_minor (server room / university / IXP) by classifier.,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/8017899486"", ""source_record_id"": ""node/8017899486"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""access"": ""private"", ""check_date"": ""2023-08-06"", ""description"": ""The most powerful university supercomputer in the Southern United States"", ""level"": ""0"", ""manufacturer"": ""NVIDIA"", ""manufacturer:type"": ""DGX A10 SuperPOD\u2122"", ""manufacturer:wikidata"": ""Q182477"", ""name"": ""HiPerGator"", ""office"": ""research"", ""operator"": ""University of Florida"", ""ref"": ""Version 3.0"", ""research"": ""computer_science"", ""telecom"": ""data_center"", ""website"": ""https://www.rc.ufl.edu/services/hipergator/""}}]",OpenStreetMap,https://www.openstreetmap.org/node/8017899486,1
dc_4465586fa278,,Atlanta ATL13,Digital Realty,colocation,operational,33.7555186,-84.3914814,point,address,medium,56 Marietta Street,Atlanta,GA,Fulton,30303,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/8109664813"", ""source_record_id"": ""node/8109664813"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Atlanta"", ""addr:housenumber"": ""56"", ""addr:postcode"": ""30303"", ""addr:state"": ""GA"", ""addr:street"": ""Marietta Street"", ""name"": ""Atlanta ATL13"", ""operator"": ""Digital Realty"", ""operator:wikidata"": ""Q5275969"", ""ref"": ""ATL13"", ""telecom"": ""data_center"", ""website"": ""https://www.digitalrealty.com/data-centers/americas/atlanta/atl13""}}]",OpenStreetMap,https://www.openstreetmap.org/node/8109664813,1
dc_c91b689569e2,,Data Holdings Data Center,,unknown,operational,43.0439408,-87.9539794,point,address,medium,3135 West Highland Boulevard,Milwaukee,WI,Milwaukee,53208-3251,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/8165754026"", ""source_record_id"": ""node/8165754026"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Milwaukee"", ""addr:housenumber"": ""3135"", ""addr:postcode"": ""53208-3251"", ""addr:state"": ""WI"", ""addr:street"": ""West Highland Boulevard"", ""contact:email"": ""sales@dataholdings.com"", ""contact:facebook"": ""https://www.facebook.com/Data-Holdings-Data-Center-570409053327886/"", ""contact:phone"": ""+1 414 837 5502"", ""contact:twitter"": ""https://twitter.com/dataholdingsmke"", ""contact:website"": ""https://www.dataholdings.com/"", ""name"": ""Data Holdings Data Center"", ""office"": ""company"", ""owner"": ""Potawatomi Business Development Corporation"", ""short_name"": ""Data Holdings"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/8165754026,1
dc_8f61bbab2b18,,STACK Infrastructure,"Stack Infrastructure, Incorporated",colocation,operational,37.4027449,-121.891051,point,address,medium,2150 Trade Zone Boulevard,San Jose,CA,Santa Clara,95131,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/8238715059"", ""source_record_id"": ""node/8238715059"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""San Jose"", ""addr:housenumber"": ""2150"", ""addr:postcode"": ""95131"", ""addr:state"": ""CA"", ""addr:street"": ""Trade Zone Boulevard"", ""addr:unit"": ""107"", ""fixme"": ""Somewhere on this floor"", ""level"": ""0"", ""name"": ""STACK Infrastructure"", ""operator"": ""Stack Infrastructure, Incorporated"", ""telecom"": ""data_center""}}, {""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/8238715061"", ""source_record_id"": ""node/8238715061"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""San Jose"", ""addr:housenumber"": ""2150"", ""addr:postcode"": ""95131"", ""addr:state"": ""CA"", ""addr:street"": ""Trade Zone Boulevard"", ""addr:unit"": ""201"", ""fixme"": ""Somewhere on this floor"", ""level"": ""1"", ""name"": ""STACK Infrastructure"", ""operator"": ""Stack Infrastructure, Incorporated"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/8238715059,2
dc_16b0103c1ecb,,Digital West Data Center,,unknown,operational,35.2553162,-120.6415128,point,address,medium,,,CA,San Luis Obispo,,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/8477460442"", ""source_record_id"": ""node/8477460442"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""name"": ""Digital West Data Center"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/8477460442,1
dc_e0a8ffe0675b,,Chick-fil-A Hiring Center,Dennis Sampier,unknown,operational,42.6279424,-82.9883939,point,address,medium,,,MI,Macomb,,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/8641856300"", ""source_record_id"": ""node/8641856300"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""name"": ""Chick-fil-A Hiring Center"", ""operator"": ""Dennis Sampier"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/8641856300,1
dc_9fe2fa1cb2a0,,Ergonomic Group,,unknown,operational,41.7070776,-72.5898636,point,address,medium,65 Kreiger Lane,Glastonbury,CT,Capitol,06033,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/8767284091"", ""source_record_id"": ""node/8767284091"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Glastonbury"", ""addr:housenumber"": ""65"", ""addr:postcode"": ""06033"", ""addr:state"": ""CT"", ""addr:street"": ""Kreiger Lane"", ""name"": ""Ergonomic Group"", ""office"": ""telecommunication"", ""phone"": ""+1 860 563 4353"", ""telecom"": ""data_center"", ""website"": ""https://www.ergogroup.com""}}]",OpenStreetMap,https://www.openstreetmap.org/node/8767284091,1
dc_e6031badf345,,San Jose Colocation Center,CoreSite,colocation,operational,37.3341181,-121.891646,point,address,medium,55 South Market Street,San Jose,CA,Santa Clara,95113,US,,unknown,,unknown,,,,True,True,high,,2026-06-20,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/8897151054"", ""source_record_id"": ""node/8897151054"", ""date_accessed"": ""2026-06-20"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""San Jose"", ""addr:housenumber"": ""55"", ""addr:postcode"": ""95113"", ""addr:state"": ""CA"", ""addr:street"": ""South Market Street"", ""addr:unit"": ""104"", ""fixme"": ""Somewhere in this building"", ""name"": ""San Jose Colocation Center"", ""official_name"": ""CoreSite Real Estate 55 S Market Street, L.L.C."", ""operator"": ""CoreSite"", ""operator:wikidata"": ""Q5170140"", ""ref"": ""SV1"", ""telecom"": ""data_center"", ""website"": ""https://www.coresite.com/data-center/sv1-san-jose-ca""}}]",OpenStreetMap,https://www.openstreetmap.org/node/8897151054,1
