facility_id,campus_id,name,operator_company,facility_type,status,compute_capabilities,latitude,longitude,geom_type,geocode_precision,coordinate_precision,coord_confidence,address,city,state,county,zip,country,size_sqft,area_basis,num_floors,power_capacity_mw,power_basis,power_demand_mw,year_opened,planned_year,in_conus,included,confidence,notes,snapshot_date,dataset_version,sources_json,source_name,source_url,n_sources,coordinate_status,verification_status,confirmed_lat,confirmed_lon,verification_evidence,verification_source,verification_confidence,verification_date,verification_method,original_lat,original_lon
dc_a28b6b533687,,OptimumHQ,,unknown,operational,,33.3804149,-111.7526684,point,address,building,medium,1955 South Val Vista Drive,Mesa,AZ,Maricopa,85206,US,,unknown,,,unknown,,,,True,True,high,,2026-06-22,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/7557854384"", ""source_record_id"": ""node/7557854384"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Mesa"", ""addr:housenumber"": ""1955"", ""addr:postcode"": ""85206"", ""addr:state"": ""AZ"", ""addr:street"": ""South Val Vista Drive"", ""name"": ""OptimumHQ"", ""source"": ""esri/USA_NAD_Addresses"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/7557854384,1,independently_confirmed_on_building,pending,,,,,,,,33.3804149,-111.7526684
dc_2980260de3e5,,The Chatfield Group,,unknown,operational,,33.380601,-111.7528888,point,address,building,medium,1955 South Val Vista Drive,Mesa,AZ,Maricopa,85206,US,,unknown,,,unknown,,,,True,True,high,,2026-06-22,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/7557868585"", ""source_record_id"": ""node/7557868585"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Mesa"", ""addr:housenumber"": ""1955"", ""addr:postcode"": ""85206"", ""addr:state"": ""AZ"", ""addr:street"": ""South Val Vista Drive"", ""name"": ""The Chatfield Group"", ""source"": ""esri/USA_NAD_Addresses"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/7557868585,1,independently_confirmed_on_building,pending,,,,,,,,33.380601,-111.7528888
dc_b9549d1a3e6c,,All About Serving Process Server,,unknown,operational,,33.3199157,-111.809686,point,address,building,medium,1909 East Ray Road,Chandler,AZ,Maricopa,85225,US,,unknown,,,unknown,,,,True,True,high,,2026-06-22,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/7578821329"", ""source_record_id"": ""node/7578821329"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Chandler"", ""addr:housenumber"": ""1909"", ""addr:postcode"": ""85225"", ""addr:state"": ""AZ"", ""addr:street"": ""East Ray Road"", ""name"": ""All About Serving Process Server"", ""source"": ""esri/USA_NAD_Addresses"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/7578821329,1,independently_confirmed_on_building,pending,,,,,,,,33.3199157,-111.809686
dc_4dccde6d1dfb,,Emailage,,unknown,operational,,33.302965,-111.8405386,point,address,building,medium,,,AZ,Maricopa,,US,,unknown,,,unknown,,,,True,True,high,,2026-06-22,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/7737996606"", ""source_record_id"": ""node/7737996606"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""name"": ""Emailage"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/7737996606,1,independently_confirmed_on_building,pending,,,,,,,,33.302965,-111.8405386
dc_0ffde5e0d6a1,,Alliance Technology,,unknown,operational,,33.3799862,-111.728405,point,address,building,medium,4850 East Baseline Road,Mesa,AZ,Maricopa,85206,US,,unknown,,,unknown,,,,True,True,high,,2026-06-22,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/7821940847"", ""source_record_id"": ""node/7821940847"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Mesa"", ""addr:housenumber"": ""4850"", ""addr:postcode"": ""85206"", ""addr:state"": ""AZ"", ""addr:street"": ""East Baseline Road"", ""name"": ""Alliance Technology"", ""source"": ""esri/USA_NAD_Addresses"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/7821940847,1,independently_confirmed_on_building,pending,,,,,,,,33.3799862,-111.728405
dc_74f18bfa8df0,,8100 Boone Boulevard,Digital Realty,colocation,operational,,38.913702,-77.2258342,point,parcel,building,high,8100 Boone Boulevard,Vienna,VA,Fairfax,22182,US,19578.3,gross_building,5.0,,unknown,9.79,,,True,True,high,"power_demand_mw is a modeled estimate (footprint × floors × density), not measured.",2026-06-22,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/7985753364"", ""source_record_id"": ""node/7985753364"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""addr:housenumber"": ""8100"", ""addr:street"": ""Boone Boulevard"", ""name"": ""8100 Boone Boulevard"", ""operator"": ""Digital Realty"", ""operator:wikidata"": ""Q5275969"", ""operator:wikipedia"": ""en:Digital Realty"", ""owner"": ""Digital Realty"", ""telecom"": ""data_center""}}, {""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/way/156468497"", ""source_record_id"": ""way/156468497"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""medium"", ""raw_attributes"": {""addr:housenumber"": ""8100"", ""addr:street"": ""Boone Boulevard"", ""building"": ""data_center"", ""building:levels"": ""5""}}, {""source_name"": ""PeeringDB"", ""source_url"": ""https://www.peeringdb.com/fac/2988"", ""source_record_id"": ""2988"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""name"": ""Gosnell - International Gateway 1 (8100 Boone)"", ""city"": ""Vienna"", ""state"": ""VA"", ""zipcode"": ""22182"", ""address1"": ""8100 Boone Blvd"", ""org_id"": 19835, ""campus_id"": null}}]",OpenStreetMap,https://www.openstreetmap.org/node/7985753364,3,on_osm_building_single_source,pending,,,,,,,,38.913702,-77.2258342
dc_4465586fa278,,Atlanta ATL13,Digital Realty,colocation,operational,,33.7555186,-84.3914814,point,address,building,medium,56 Marietta Street,Atlanta,GA,Fulton,30303,US,,unknown,,,unknown,,,,True,True,high,,2026-06-22,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/8109664813"", ""source_record_id"": ""node/8109664813"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Atlanta"", ""addr:housenumber"": ""56"", ""addr:postcode"": ""30303"", ""addr:state"": ""GA"", ""addr:street"": ""Marietta Street"", ""name"": ""Atlanta ATL13"", ""operator"": ""Digital Realty"", ""operator:wikidata"": ""Q5275969"", ""ref"": ""ATL13"", ""telecom"": ""data_center"", ""website"": ""https://www.digitalrealty.com/data-centers/americas/atlanta/atl13""}}]",OpenStreetMap,https://www.openstreetmap.org/node/8109664813,1,independently_confirmed_on_building,pending,,,,,,,,33.7555186,-84.3914814
dc_c91b689569e2,,Data Holdings Data Center,,unknown,operational,,43.0439408,-87.9539794,point,address,building,medium,3135 West Highland Boulevard,Milwaukee,WI,Milwaukee,53208-3251,US,,unknown,,,unknown,,,,True,True,high,,2026-06-22,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/8165754026"", ""source_record_id"": ""node/8165754026"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Milwaukee"", ""addr:housenumber"": ""3135"", ""addr:postcode"": ""53208-3251"", ""addr:state"": ""WI"", ""addr:street"": ""West Highland Boulevard"", ""contact:email"": ""sales@dataholdings.com"", ""contact:facebook"": ""https://www.facebook.com/Data-Holdings-Data-Center-570409053327886/"", ""contact:phone"": ""+1 414 837 5502"", ""contact:twitter"": ""https://twitter.com/dataholdingsmke"", ""contact:website"": ""https://www.dataholdings.com/"", ""name"": ""Data Holdings Data Center"", ""office"": ""company"", ""owner"": ""Potawatomi Business Development Corporation"", ""short_name"": ""Data Holdings"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/8165754026,1,independently_confirmed_on_building,pending,,,,,,,,43.0439408,-87.9539794
dc_8f61bbab2b18,,STACK Infrastructure,"Stack Infrastructure, Incorporated",colocation,operational,,37.4027449,-121.891051,point,address,building,medium,2150 Trade Zone Boulevard,San Jose,CA,Santa Clara,95131,US,,unknown,,,unknown,,,,True,True,high,,2026-06-22,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/8238715059"", ""source_record_id"": ""node/8238715059"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""San Jose"", ""addr:housenumber"": ""2150"", ""addr:postcode"": ""95131"", ""addr:state"": ""CA"", ""addr:street"": ""Trade Zone Boulevard"", ""addr:unit"": ""107"", ""fixme"": ""Somewhere on this floor"", ""level"": ""0"", ""name"": ""STACK Infrastructure"", ""operator"": ""Stack Infrastructure, Incorporated"", ""telecom"": ""data_center""}}, {""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/8238715061"", ""source_record_id"": ""node/8238715061"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""San Jose"", ""addr:housenumber"": ""2150"", ""addr:postcode"": ""95131"", ""addr:state"": ""CA"", ""addr:street"": ""Trade Zone Boulevard"", ""addr:unit"": ""201"", ""fixme"": ""Somewhere on this floor"", ""level"": ""1"", ""name"": ""STACK Infrastructure"", ""operator"": ""Stack Infrastructure, Incorporated"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/8238715059,2,on_osm_building_single_source,pending,,,,,,,,37.4027449,-121.891051
dc_16b0103c1ecb,,Digital West Data Center,,unknown,operational,,35.2553162,-120.6415128,point,address,building,medium,,,CA,San Luis Obispo,,US,,unknown,,,unknown,,,,True,True,high,,2026-06-22,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/8477460442"", ""source_record_id"": ""node/8477460442"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""name"": ""Digital West Data Center"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/8477460442,1,independently_confirmed_on_building,pending,,,,,,,,35.2553162,-120.6415128
dc_e0a8ffe0675b,,Chick-fil-A Hiring Center,Dennis Sampier,unknown,operational,,42.6279424,-82.9883939,point,address,building,medium,,,MI,Macomb,,US,,unknown,,,unknown,,,,True,True,high,,2026-06-22,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/8641856300"", ""source_record_id"": ""node/8641856300"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""name"": ""Chick-fil-A Hiring Center"", ""operator"": ""Dennis Sampier"", ""telecom"": ""data_center""}}]",OpenStreetMap,https://www.openstreetmap.org/node/8641856300,1,independently_confirmed_on_building,pending,,,,,,,,42.6279424,-82.9883939
dc_9fe2fa1cb2a0,,Ergonomic Group,,unknown,operational,,41.7070776,-72.5898636,point,address,building,medium,65 Kreiger Lane,Glastonbury,CT,Capitol,06033,US,,unknown,,,unknown,,,,True,True,high,,2026-06-22,0.1.0,"[{""source_name"": ""OpenStreetMap"", ""source_url"": ""https://www.openstreetmap.org/node/8767284091"", ""source_record_id"": ""node/8767284091"", ""date_accessed"": ""2026-06-22"", ""confidence"": ""high"", ""raw_attributes"": {""addr:city"": ""Glastonbury"", ""addr:housenumber"": ""65"", ""addr:postcode"": ""06033"", ""addr:state"": ""CT"", ""addr:street"": ""Kreiger Lane"", ""name"": ""Ergonomic Group"", ""office"": ""telecommunication"", ""phone"": ""+1 860 563 4353"", ""telecom"": ""data_center"", ""website"": ""https://www.ergogroup.com""}}]",OpenStreetMap,https://www.openstreetmap.org/node/8767284091,1,on_osm_building_single_source,pending,,,,,,,,41.7070776,-72.5898636
